Republican Yea,Democrat Yea,Republican Nay,Democrat Nay,Republican Not Voting,Democrat Not Voting,,Senate Democrat Yea,Senate Republican Yea,Senate Democrat Nay,Senate Republican Nay,Senate Democrat Not Voting,Senate Republican Not Voting
205,202,3,1,10,8,,,,,,,
191,169,16,31,1,0,,,,,,,
198,200,13,5,7,6,,,,,,,
164,201,46,1,8,9,,,,,,,
183,193,26,7,9,11,,,,,,,
207,200,0,0,11,11,,,,,,,
200,208,15,0,3,3,,,,,,,
213,204,0,0,5,7,,,,,,,
211,204,0,0,7,7,,,,,,,
0,179,213,28,5,4,,,,,,,
214,64,0,143,4,4,,,,,,,
209,206,0,0,9,5,,,,,,,
211,125,3,82,4,4,,,,,,,
211,84,3,121,0,1,,,,,,,
197,27,15,174,6,10,,,,,,,
19,147,194,55,6,9,,,,,,,
207,200,9,0,3,11,,,,,,,
194,194,4,0,20,17,,,,,,,
196,194,0,0,22,17,,,,,,,
195,174,13,26,1,0,,,,,,,
212,205,0,0,6,6,,,,,,,
203,202,6,0,9,9,,,,,,,
213,1,4,206,1,0,,,,,,,
NA,NA,NA,NA,NA,NA,,,,,,,
210,63,0,140,9,8,,,,,,,
14,186,198,20,6,5,,,,,,,
216,187,1,19,2,5,,,,,,,
191,156,12,36,1,0,,,,,,,
216,2,0,203,3,6,,,,,,,
212,2,1,200,6,9,,,,,,,
7,189,206,14,6,8,,,,,,,
1,171,211,30,7,10,,,,,,,
206,19,9,183,4,9,,,,,,,
188,180,9,2,22,29,,,,,,,
209,198,0,0,10,13,,,,,,,
207,198,0,0,12,13,,,,,,,
200,194,8,2,11,15,,,,,,,
203,198,1,0,15,13,,,,,,,
207,197,0,0,0,2,,,,,,,
198,200,7,1,14,10,,,,,,,
209,203,0,0,10,8,,,,,,,
210,202,0,0,9,9,,,,,,,
205,177,1,10,4,16,,,,,,,
202,117,3,79,14,15,,,,,,,
193,12,1,177,25,22,,,,,,,
210,207,2,1,0,1,,,,,,,
210,44,2,165,7,2,,,,,,,
215,7,0,201,4,3,,,,,,,
0,161,216,49,4,1,,,,,,,
193,21,23,189,4,1,,,,,,,
120,180,67,16,32,15,,,,,,,
201,197,0,0,18,14,,,,,,,
201,197,0,0,18,14,,,,,,,
170,196,31,2,18,13,,,,,,,
192,160,12,32,1,0,,,,,,,
205,16,3,189,11,6,,,,,,,
1,195,213,11,5,5,,,,,,,
195,165,20,42,5,4,,,,,,,
207,205,4,1,8,5,,,,,,,
213,207,0,0,6,4,,,,,,,
212,206,0,0,7,5,,,,,,,
211,204,2,0,6,7,,,,,,,
170,198,42,1,7,12,,,,,,,
211,193,0,0,8,18,,,,,,,
208,171,6,34,5,6,,,,,,,
182,198,33,6,5,7,,,,,,,
204,99,1,99,14,13,,,,,,,
197,193,0,0,22,18,,,,,,,
195,194,2,0,22,17,,,,,,,
209,169,3,33,7,9,,,,,,,
213,202,1,0,5,9,,,,,,,
213,204,0,0,6,7,,,,,,,
187,203,30,0,3,8,,,,,,,
158,197,59,6,3,8,,,,,,,
209,3,7,198,4,10,,,,,,,
214,3,0,197,7,11,,,,,,,
0,176,214,22,7,13,,,,,,,
213,9,2,190,6,12,,,,,,,
215,190,2,4,3,17,,,,,,,
212,177,1,11,2,5,,,,,,,
206,49,3,144,11,18,,,,,,,
