Republican Yea,Democrat Yea,Republican Nay,Democrat Nay,Republican Not Voting,Democrat Not Voting,,Senate Republican Yea,Senate Democrat Yea,Senate Republican Nay,Senate Democrat Nay,Senate Republican Not Voting,Senate Democrat Not Voting
8,183,215,17,5,5,,51,5,0,39,0,4
165,150,59,50,5,5,,44,13,7,32,0,3
218,157,0,40,11,8,,47,22,3,26,1,0
97,14,120,179,11,12,,49,11,1,2,37,0
170,181,49,11,10,13,,42,11,9,35,0,2
210,185,0,0,18,20,,,,,,,
208,186,1,0,19,19,,,,,,,
209,187,0,0,19,18,,,,,,,
128,112,92,80,8,13,,,,,,,
211,24,9,168,8,13,,,,,,,
201,4,2,177,25,24,,,,,,,
0,100,214,84,14,21,,,,,,,
0,88,213,89,0,1,,,,,,,
0,86,213,92,0,1,,,,,,,
132,194,90,0,6,11,,,,,,,
90,0,130,191,8,14,,,,,,,
21,164,201,27,6,14,,,,,,,
20,192,202,1,6,12,,,,,,,
87,2,134,190,7,13,,,,,,,
1,186,218,4,9,15,,,,,,,
2,189,219,0,7,16,,,,,,,
1,174,208,3,19,28,,,,,,,
4,181,210,0,14,24,,,,,,,
201,4,14,188,13,13,,,,,,,
13,189,199,4,16,12,,,,,,,
106,10,101,182,21,13,,,,,,,
81,6,138,187,9,12,,,,,,,
124,6,92,189,12,10,,,,,,,
53,173,166,22,9,10,,,,,,,
45,176,176,20,7,9,,,,,,,
65,192,156,4,7,9,,,,,,,
17,187,204,7,7,11,,,,,,,
26,193,195,3,7,9,,,,,,,
63,182,159,14,6,9,,,,,,,
199,181,24,15,5,9,,,,,,,
206,3,15,192,7,10,,,,,,,
209,1,11,194,8,10,,,,,,,
222,198,0,0,6,7,,,,,,,
6,199,213,0,9,6,,,,,,,
149,197,73,1,6,7,,,,,,,
18,123,202,70,0,1,,,,,,,
6,105,218,92,0,1,,,,,,,
37,197,186,0,0,1,,,,,,,
204,29,20,168,0,1,,,,,,,
221,171,2,27,0,1,,,,,,,
220,185,0,0,8,20,,,,,,,
6,188,214,0,8,17,,,,,,,
0,188,219,1,9,16,,,,,,,
224,199,0,0,4,6,,,,,,,
223,202,0,0,5,3,,,,,,,
225,200,0,0,3,5,,,,,,,
3,199,219,1,6,5,,,,,,,
1,199,221,0,6,6,,,,,,,
222,185,0,13,6,7,,,,,,,
4,194,214,0,10,11,,,,,,,
7,194,213,0,8,11,,,,,,,
103,194,118,0,7,11,,,,,,,
216,72,4,122,8,11,,,,,,,
